Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Packets/s,Flow Bytes/s,Fwd Packet Length Mean,Bwd Packet Length Mean,Packet Length Mean,Flow IAT Mean,Flow IAT Std,SYN Flag Count,ACK Flag Count
1293792,3,7,7.72921768,8991.398927,8.666666667,1658.142857,1057.545455,143754.6667,430865.8067,0,0
4421382,4,0,0.904694505,5.42816703,6.0,0.0,6.0,1473794.0,2552042.631,0,1
1083538,3,6,8.306123089,10730.58813,8.666666667,1933.5,1162.7,135442.25,377725.315,0,0
80034360,8,4,0.149935603,145.6499433,7.0,2900.25,897.1538462,7275850.909,21100000.0,0,1
642654,3,6,14.0044254,18101.49785,8.666666667,1934.5,1163.3,80331.75,226824.6943,0,0
79731718,8,5,0.163046781,146.2027947,7.0,2320.2,833.0714286,6644309.833,20300000.0,0,1
306157,3,6,29.39668209,37996.84476,8.666666667,1934.5,1163.3,38269.625,107926.2565,0,0
79780371,8,4,0.150412938,146.1888414,7.0,2901.75,897.6153846,7252761.0,21300000.0,0,1
682575,3,5,11.72032377,17042.81581,8.666666667,2321.4,1292.555556,97510.71429,257484.0143,0,0
79098660,8,6,0.176994149,147.4487684,7.0,1934.5,777.9333333,6084512.308,19600000.0,0,1
670265,3,6,13.42752493,17355.82195,8.666666667,1934.5,1163.3,83783.125,236570.5187,0,0
79099557,7,6,0.164349846,147.3712425,7.142857143,1934.5,833.0714286,6591629.75,20400000.0,0,1
1270646,3,6,7.083011319,9155.18563,8.666666667,1934.5,1163.3,158830.75,448864.6618,0,0
77818286,8,6,0.179906301,149.7976966,7.0,1933.5,777.5333333,5986022.0,19600000.0,0,1
1281820,3,6,7.021266637,9075.377198,8.666666667,1934.5,1163.3,160227.5,452919.5003,0,0
77807512,8,6,0.179931213,149.8955525,7.0,1934.5,777.9333333,5985193.231,19600000.0,0,1
13724,3,6,655.7854853,847201.9819,8.666666667,1933.5,1162.7,1715.5,4102.197181,0,0
10453138,4,0,0.382660212,2.29596127,6.0,0.0,6.0,3484379.333,6034519.285,0,1
1632,3,6,5514.705882,7128063.725,8.666666667,1934.5,1163.3,204.0,299.140674,0,0
10440135,5,0,0.47892101,2.873526061,6.0,0.0,6.0,2610033.75,5219274.167,0,1
1604,3,6,5610.972569,7252493.766,8.666666667,1934.5,1163.3,200.5,316.1279126,0,0
10426959,4,0,0.383620958,2.301725748,6.0,0.0,6.0,3475653.0,6019338.148,0,1
1533,3,6,5870.841487,7588388.78,8.666666667,1934.5,1163.3,191.625,308.6111458,0,0
10417544,4,0,0.383967661,2.303805964,6.0,0.0,6.0,3472514.667,6013823.587,0,1
1393,3,6,6460.875808,8351040.919,8.666666667,1934.5,1163.3,174.125,295.8128933,0,0
10414106,4,0,0.38409442,2.304566518,6.0,0.0,6.0,3471368.667,6011904.475,0,1
1590,3,6,5660.377358,7316352.201,8.666666667,1934.5,1163.3,198.75,315.2054885,0,0
10403699,4,0,0.384478636,2.306871815,6.0,0.0,6.0,3467899.667,6005835.369,0,1
1217,3,6,7395.234182,9558751.027,8.666666667,1934.5,1163.3,152.125,247.1456699,0,0
10401308,4,0,0.384567018,2.307402108,6.0,0.0,6.0,3467102.667,6004532.866,0,1
658536,3,6,13.66667881,17664.94163,8.666666667,1934.5,1163.3,82317.0,232330.4161,0,0
9733523,4,0,0.410950896,2.465705377,6.0,0.0,6.0,3244507.667,5619037.247,0,1
1655458,3,6,5.436561967,7027.058373,8.666666667,1934.5,1163.3,206932.25,584828.1901,0,0
8734350,4,0,0.457961955,2.747771729,6.0,0.0,6.0,2911450.0,5042191.293,0,1
1271648,3,6,7.077430232,9147.971766,8.666666667,1934.5,1163.3,158956.0,449121.5979,0,0
8452090,4,0,0.473255727,2.839534364,6.0,0.0,6.0,2817363.333,4879135.741,0,1
283381,3,5,28.23054474,41050.74088,8.666666667,2321.4,1292.555556,40483.0,106561.2077,0,0
8439207,4,0,0.473978183,2.843869098,6.0,0.0,6.0,2813069.0,4871796.466,0,1
53148,3,6,169.3384511,218879.3558,8.666666667,1934.5,1163.3,6643.5,18316.82448,0,0
8424013,4,0,0.474833075,2.848998452,6.0,0.0,6.0,2808004.333,4862967.913,0,1
24707,3,5,323.7948759,470838.224,8.666666667,2321.4,1292.555556,3529.571429,8900.108161,0,0
8415090,4,0,0.475336568,2.852019408,6.0,0.0,6.0,2805030.0,4857868.179,0,1
15548,3,6,578.8525855,748199.1253,8.666666667,1934.5,1163.3,1943.5,5014.349011,0,0
8411825,4,0,0.475521067,2.853126402,6.0,0.0,6.0,2803941.667,4855814.255,0,1
9613,3,6,936.2321856,1210132.113,8.666666667,1934.5,1163.3,1201.625,2939.405282,0,0
8403319,4,0,0.476002399,2.856014391,6.0,0.0,6.0,2801106.333,4850911.974,0,1
4184,3,6,2151.051625,2780353.728,8.666666667,1934.5,1163.3,523.0,1043.571204,0,0
8399787,4,0,0.476202551,2.857215308,6.0,0.0,6.0,2799929.0,4849007.007,0,1
668769,3,6,13.45756158,17394.64598,8.666666667,1934.5,1163.3,83596.125,235993.9955,0,0
7731256,5,0,0.646725448,3.880352688,6.0,0.0,6.0,1932814.0,3865002.0,0,1
659835,3,6,13.63977358,17630.16512,8.666666667,1934.5,1163.3,82479.375,232794.5387,0,0
7731078,4,0,0.517392271,3.104353623,6.0,0.0,6.0,2577026.0,4462932.881,0,1
1655971,3,6,5.434877785,7024.881474,8.666666667,1934.5,1163.3,206996.375,585001.0754,0,0
6731582,4,0,0.59421396,3.565283762,6.0,0.0,6.0,2243860.667,3885880.524,0,1
1271982,3,6,7.075571824,9145.56967,8.666666667,1934.5,1163.3,158997.75,449277.6698,0,0
6448146,4,0,0.620333349,3.722000091,6.0,0.0,6.0,2149382.0,3722273.316,0,1
1282555,3,6,7.017242925,9070.176328,8.666666667,1934.5,1163.3,160319.375,453092.9174,0,0
6438204,5,0,0.776614099,4.659684595,6.0,0.0,6.0,1609551.0,3218314.002,0,1
306849,3,6,29.33038726,37911.155,8.666666667,1934.5,1163.3,38356.125,108040.1666,0,0
6412382,4,0,0.623793155,3.742758931,6.0,0.0,6.0,2137460.667,3701581.658,0,1
35992,3,6,250.0555679,323210.7135,8.666666667,1934.5,1163.3,4499.0,12035.36606,0,0
6400548,4,0,0.624946489,3.749678934,6.0,0.0,6.0,2133516.0,3694627.186,0,1
28338,3,6,317.5947491,410508.8574,8.666666667,1934.5,1163.3,3542.25,9591.005828,0,0
6396903,4,0,0.625302588,3.751815527,6.0,0.0,6.0,2132301.0,3692657.844,0,1
674102,3,6,13.35109523,17257.03232,8.666666667,1934.5,1163.3,84262.75,237465.7968,0,0
5727050,5,0,0.873049825,5.23829895,6.0,0.0,6.0,1431762.5,2862763.668,0,1
1658353,3,6,5.427071317,7014.791181,8.666666667,1934.5,1163.3,207294.125,585887.2898,0,0
4730808,4,0,0.845521526,5.073129157,6.0,0.0,6.0,1576936.0,2730727.923,0,1
1658555,3,6,5.426410339,7013.936831,8.666666667,1934.5,1163.3,207319.375,585957.8976,0,0
4726615,4,0,0.846271592,5.077629551,6.0,0.0,6.0,1575538.333,2728255.129,0,1
11390,3,6,790.166813,1020807.726,8.666666667,1933.5,1162.7,1423.75,3515.923563,0,0
8039786,5,0,0.621907101,3.731442603,6.0,0.0,6.0,2009946.5,4018572.36,0,1
11469,3,6,784.7240387,1013776.266,8.666666667,1933.5,1162.7,1433.625,3451.389738,0,0
8037798,5,0,0.622060918,3.732365506,6.0,0.0,6.0,2009449.5,4018233.027,0,1
10415,3,4,672.1075372,1116370.619,8.666666667,2900.25,1453.375,1735.833333,3347.610576,0,0
8036938,5,0,0.622127482,3.732764891,6.0,0.0,6.0,2009234.5,4017804.36,0,1
9827,3,5,814.0836471,1183168.821,8.666666667,2320.2,1291.888889,1403.857143,2919.353606,0,0
8034753,5,0,0.622296665,3.733779993,6.0,0.0,6.0,2008688.25,4016964.51,0,1
8812,3,4,794.3713118,1319450.749,8.666666667,2900.25,1453.375,1468.666667,2744.672124,0,0
8033798,5,0,0.62237064,3.734223838,6.0,0.0,6.0,2008449.5,4016486.336,0,1
8003,3,4,874.671998,1452830.189,8.666666667,2900.25,1453.375,1333.833333,2327.36971,0,0
8032782,4,0,0.497959487,2.987756919,6.0,0.0,6.0,2677594.0,4637023.906,0,1
8031465,4,0,0.498041142,2.988246852,6.0,0.0,6.0,2677155.0,4636360.54,0,1
12740,3,6,706.4364207,912637.3626,8.666666667,1933.5,1162.7,1592.5,4156.567334,0,0
8029795,5,0,0.622680903,3.736085417,6.0,0.0,6.0,2007448.75,4014187.506,0,1
842118,3,6,10.68733835,13813.97856,8.666666667,1934.5,1163.3,105264.75,296930.2848,0,0
