Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Packets/s,Flow Bytes/s,Fwd Packet Length Mean,Bwd Packet Length Mean,Packet Length Mean,Flow IAT Mean,Flow IAT Std,SYN Flag Count,ACK Flag Count
3,2,0,666666.6667,4000000.0,6.0,0.0,6.0,3.0,0.0,0,1
109,1,1,18348.62385,110091.7431,6.0,6.0,6.0,109.0,0.0,0,1
52,1,1,38461.53846,230769.2308,6.0,6.0,6.0,52.0,0.0,0,1
34,1,1,58823.52941,352941.1765,6.0,6.0,6.0,34.0,0.0,0,1
3,2,0,666666.6667,4000000.0,6.0,0.0,6.0,3.0,0.0,0,1
1022,2,0,1956.947162,11741.68297,6.0,0.0,6.0,1022.0,0.0,0,1
4,2,0,500000.0,3000000.0,6.0,0.0,6.0,4.0,0.0,0,1
42,1,1,47619.04762,285714.2857,6.0,6.0,6.0,42.0,0.0,0,1
4,2,0,500000.0,3000000.0,6.0,0.0,6.0,4.0,0.0,0,1
4,2,0,500000.0,9250000.0,18.5,0.0,22.66666667,4.0,0.0,1,1
3,2,0,666666.6667,12300000.0,18.5,0.0,22.66666667,3.0,0.0,1,1
1,2,0,2000000.0,37000000.0,18.5,0.0,22.66666667,1.0,0.0,1,1
4,2,0,500000.0,9250000.0,18.5,0.0,22.66666667,4.0,0.0,1,1
3,3,0,1000000.0,14300000.0,14.33333333,0.0,12.25,1.5,0.707106781,0,1
54,1,1,37037.03704,0.0,0.0,0.0,0.0,54.0,0.0,0,1
1,2,0,2000000.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
154,1,1,12987.01299,0.0,0.0,0.0,0.0,154.0,0.0,0,1
1,2,0,2000000.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
118,1,1,16949.15254,0.0,0.0,0.0,0.0,118.0,0.0,0,1
239,1,1,8368.200837,0.0,0.0,0.0,0.0,239.0,0.0,0,1
1,3,0,3000000.0,0.0,0.0,0.0,0.0,0.5,0.707106781,0,1
1,2,0,2000000.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
4,2,0,500000.0,62000000.0,124.0,0.0,155.0,4.0,0.0,1,1
5,3,0,600000.0,50800000.0,84.66666667,0.0,117.75,2.5,2.121320344,1,1
4,2,0,500000.0,3000000.0,6.0,0.0,6.0,4.0,0.0,0,1
4,3,0,750000.0,10800000.0,14.33333333,0.0,12.25,2.0,1.414213562,0,1
